,artist,album,albumcount,year
133899,Jerry Lee Lewis,There Must Be More To Love Than This,6,1970
133910,Jerry Lee Lewis,Touching Home,3,1971
133932,Jerry Reed,Cookin',2,1970
133954,Jerry Reed,"Lord, Mr. Ford",4,1973
133964,Jerry Reed,Smell The Flowers,2,1972
134026,Jerry Vale,Jerry Vale Sings 16 Greatest Hits Of The 60's,2,1970
134042,Jerry Vale,Jerry Vale Sings The Great Hits Of Nat King Cole,2,1972
134053,Jerry Vale,Let It Be,4,1970
134241,Jesse Colin Young,American Dreams,2,1978
134384,Jesse Winchester,A Touch On The Rainy Side,7,1978
134414,Jesse Winchester,"Third Down, 110 To Go",5,1972
134980,Jethro Tull,"Repeat-The Best Of Jethro Tull, Vol. II",6,1977
136310,Jimmie Spheeris,The Dragon Is Dancing,6,1975
136800,Jimmy Cliff,Follow My Mind,2,1976
137456,Jo Jo Gunne,Jumpin' The Gunne,7,1973
137467,Jo Jo Gunne,So...Where's The Show?,1,1974
137696,Joan Baez,Carry It On,5,1971
137799,Joan Baez,Honest Lullaby,7,1979
140158,John Coltrane,Sun Ship,3,1971
140468,John Denver,Take Me To Tomorrow,2,1970
140867,John Handy,Carnival,2,1977
140882,John Hartford,Aereo-Plain,4,1971
141110,John Klemmer,Cry,3,1978
141196,John Lee Hooker,Never Get Out Of These Blues Alive,6,1972
141699,John Mayall,Memories,5,1971
141718,John Mayall,"New Year, New Band, New Company",4,1975
141765,John Mayall,Thru The Years,7,1971
142457,John Prine,John Prine,3,1971
142484,John Prine,Pink Cadillac,7,1979
142677,John Stewart,The Phoenix Concerts-Live,2,1974
142972,Johnnie Taylor,Johnnie Taylor's Greatest Hits,5,1977
143042,Johnny & Jonie Mosby,Hold Me,1,1977
143143,Johnny Cash,Any Old Wind That Blows,4,1973
143438,Johnny Cash,Showtime,4,1970
143497,Johnny Cash,The Greatest: The Number Ones,1,1979
143618,Johnny Cash,The Singing Story Teller,3,1971
143852,Johnny Mathis,Better Together - The Duet Album,1,1978
144011,Johnny Mathis,Johnny Mathis In Person,7,1972
144049,Johnny Mathis,Killing Me Softly With Her Song,7,1973
144073,Johnny Mathis,Mathis Is...,5,1977
144176,Johnny Mathis,The Best Of Johnny Mathis 1975-1980,7,1975
144240,Johnny Mathis,The Heart Of A Woman,7,1974
144414,Johnny Rivers,Home Grown,4,1971
145784,Jose Feliciano,And The Feeling's Good,7,1974
145846,Jose Feliciano,Just Wanna Rock 'n' Roll,4,1975
146831,Joy Of Cooking,Castles,6,1972
147324,Judas Priest,Hell Bent For Leather,7,1979
